id_mbes;X;Y;Z;id_moules;Nbrs_moules;Classe;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;GMM_Classe;New_Classe
38655163;171743.000;5150716.000;5.499;297;3;Inexistant;1.735089;4.579632e-02;0.669759;0.999340;0.625323;0.374016;4.059885e-04;6.603989e-04;7.879583e-04;-1.863000e-09;-0.000000e+00;9.600010;6.009450;0.131000;-0.099000;0.032000;0;Rare
38655164;171744.000;5150716.000;5.534;297;3;Inexistant;1.734517;5.177829e-02;0.670826;0.999045;0.623949;0.375096;5.872130e-04;9.547250e-04;7.723889e-05;-1.160000e-10;-0.000000e+00;9.601481;6.000000;0.099000;-0.040000;0.059000;0;Rare
38655648;171741.000;5150717.000;5.466;297;3;Inexistant;1.736526;5.050785e-02;0.670403;0.999114;0.623253;0.375861;5.451492e-04;8.858809e-04;1.136339e-03;-1.160000e-10;0.000000e+00;9.617539;6.002679;0.170000;-0.034000;0.136000;0;Rare
38655649;171742.000;5150717.000;5.428;297;3;Inexistant;1.734323;4.183867e-02;0.668876;0.999497;0.624455;0.375042;3.096250e-04;5.032835e-04;2.536804e-04;-1.862000e-09;1.000000e-12;9.602757;6.001320;0.112000;-0.089000;0.023000;0;Rare
38655650;171743.000;5150717.000;5.385;297;3;Inexistant;1.737075;6.660955e-02;0.674904;0.997964;0.622065;0.375899;1.252186e-03;2.036227e-03;7.384496e-04;1.160000e-10;-0.000000e+00;9.613998;6.000104;0.162000;-0.145000;0.017000;0;Rare
38655651;171744.000;5150717.000;5.435;297;3;Inexistant;1.738552;6.408107e-02;0.673894;0.998188;0.621299;0.376889;1.115037e-03;1.811849e-03;1.541693e-03;-1.160000e-10;-0.000000e+00;9.629359;6.000159;0.200000;-0.039000;0.161000;0;Rare
38655652;171745.000;5150717.000;5.452;297;3;Inexistant;1.735620;5.751737e-02;0.672235;0.998691;0.623414;0.375277;8.053190e-04;1.309475e-03;4.624626e-04;-1.160000e-10;-0.000000e+00;9.606564;6.001442;0.182000;-0.032000;0.150000;0;Rare
38656135;171741.000;5150718.000;5.473;297;3;Inexistant;1.735826;4.188353e-02;0.669085;0.999495;0.625592;0.373903;3.104923e-04;5.050476e-04;1.328760e-03;-1.862000e-09;5.000000e-12;9.604336;6.013249;0.150000;-0.048000;0.102000;0;Rare
38656136;171742.000;5150718.000;5.401;297;3;Inexistant;1.736141;3.793745e-02;0.668440;0.999625;0.625485;0.374140;2.307246e-04;3.752126e-04;1.546078e-03;-1.862000e-09;7.000000e-12;9.608247;6.013420;0.182000;-0.072000;0.110000;0;Rare
38656137;171743.000;5150718.000;5.336;297;3;Inexistant;1.734922;2.997429e-02;0.667456;0.999815;0.625414;0.374401;1.137828e-04;1.849861e-04;9.127079e-04;-1.862000e-09;4.000000e-12;9.604169;6.008356;0.122000;-0.028000;0.094000;0;Rare
38656138;171744.000;5150718.000;5.308;297;3;Inexistant;1.735439;4.390502e-02;0.669480;0.999418;0.625794;0.373625;3.576517e-04;5.818840e-04;1.109796e-03;-1.863000e-09;1.000000e-12;9.600098;6.013266;0.145000;-0.069000;0.076000;0;Rare
38656139;171745.000;5150718.000;5.346;297;3;Inexistant;1.738039;3.318267e-02;0.668324;0.999749;0.628376;0.371373;1.542120e-04;2.511927e-04;3.217012e-03;-1.862000e-09;7.000000e-12;9.603144;6.036799;0.218000;-0.126000;0.092000;0;Rare
38656140;171746.000;5150718.000;5.552;297;3;Inexistant;1.735954;5.020046e-02;0.670365;0.999130;0.623439;0.375691;5.352119e-04;8.698149e-04;8.479028e-04;-1.160000e-10;0.000000e+00;9.613459;6.001764;0.136000;-0.040000;0.096000;0;Rare
38656622;171741.000;5150719.000;5.483;297;3;Inexistant;1.744412;3.321758e-02;0.668834;0.999748;0.631298;0.368449;1.545366e-04;2.521732e-04;7.382001e-03;1.860000e-09;-2.600000e-11;9.621078;6.076199;0.315000;-0.126000;0.189000;0;Rare
