,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
559,77540174,200462.0,5172615.0,3.922,313,24,1.7428163,0.07895645,0.6793099,0.9966019,0.61844456,0.37815735,0.002090825,0.003398094,0.0027814615,1.858e-09,6e-12,9.651092,6.00146,0.23199987,-0.19300008,0.038999796,0
560,77540175,200463.0,5172615.0,3.922,313,24,1.7439024,0.07758024,0.67858356,0.99677813,0.6178838,0.37889436,0.0019835134,0.0032218753,0.0033731651,1.857e-09,6e-12,9.662535,6.001455,0.23199987,-0.23199987,0.0,3
561,77540176,200464.0,5172615.0,3.95,313,24,1.7447829,0.08185499,0.68041795,0.99621207,0.6169239,0.3792881,0.002331765,0.0037879515,0.0034565174,-1.856e-09,-1e-12,9.6663885,6.000042,0.23199987,-0.23199987,0.0,3
562,77540677,200461.0,5172616.0,3.805,313,24,1.7457024,0.07394988,0.6787998,0.997205,0.62821597,0.36898908,0.0017107102,0.0027949687,0.006498463,1.16e-10,1e-12,9.616394,6.06805,0.29200006,-0.032000065,0.26,0
564,77540678,200462.0,5172616.0,3.809,313,24,1.7435288,0.07525639,0.679405,0.9970531,0.628535,0.36851814,0.0018030233,0.002946913,0.0052488516,-1.16e-10,-0.0,9.600761,6.0627065,0.26,-0.06500006,0.19499993,0
565,77540679,200463.0,5172616.0,3.818,313,24,1.7434733,0.07519572,0.6792275,0.9970609,0.62763894,0.36942196,0.0017992352,0.0029390815,0.0050583547,1.16e-10,1e-12,9.605813,6.0572147,0.26,-0.06500006,0.19499993,0
566,77540680,200464.0,5172616.0,3.84,313,24,1.7440443,0.06920948,0.6767878,0.99771166,0.6274366,0.37027508,0.0014021461,0.0022883208,0.0056230216,1.16e-10,1e-12,9.617813,6.0565767,0.2750001,0.0,0.2750001,0
563,77541180,200461.0,5172617.0,3.678,313,24,1.7457807,0.080738164,0.68198705,0.9963552,0.62918806,0.36716712,0.0022272437,0.0036448347,0.0063610217,1.16e-10,0.0,9.601124,6.075907,0.28699994,-0.20499992,0.08200002,0
567,77541181,200462.0,5172617.0,3.703,313,24,1.7491176,0.08047675,0.6819109,0.99639046,0.62947345,0.366917,0.0022053875,0.003609541,0.008331545,-1.16e-10,-2e-12,9.618214,6.0891275,0.30299997,-0.28699994,0.016000032,3
568,77541182,200463.0,5172617.0,3.727,313,24,1.7521137,0.08846977,0.68644375,0.995189,0.63237256,0.36281642,0.002929973,0.0048109996,0.010051364,-1.16e-10,-1e-12,9.603578,6.119242,0.31700015,-0.30100012,0.016000032,3
716,77647081,201226.0,5172601.0,1.099,403,19,1.7338309,0.02764948,0.66717875,0.9998548,0.62506706,0.37478775,8.93164e-05,0.00014517107,0.00023688495,-1.16e-10,-0.0,9.600644,6.0024405,0.051,-0.051,0.0,0
717,77647082,201227.0,5172601.0,1.077,403,19,1.7339163,0.027202558,0.667176,0.9998618,0.62526715,0.3745946,8.504815e-05,0.00013824948,0.000325971,1.16e-10,0.0,9.600017,6.0039024,0.051,-0.051,0.0,0
724,77647083,201228.0,5172601.0,1.077,403,19,1.7340747,0.03411847,0.66784203,0.9997272,0.6250006,0.37472656,0.00016784073,0.00027283287,0.00031033222,1.16e-10,0.0,9.600879,6.003175,0.07999998,-0.051,0.028999984,0
718,77647247,201226.0,5172602.0,0.939,403,19,1.8345433,0.04432748,0.65852404,0.9994079,0.5705824,0.42882547,0.00037672665,0.0005921264,0.00022243426,1.562e-09,3.384e-09,10.50467,6.0,0.110000014,0.0,0.110000014,3
719,77647248,201227.0,5172602.0,0.855,403,19,2.1139345,0.043110467,0.62070745,0.99945617,0.44481847,0.5546377,0.00037611008,0.0005438199,0.00070310716,3.96e-10,1.821e-09,13.158123,5.8601317,0.110000014,0.0,0.110000014,3
