        id           X            Y       Z  Nbrs_Moules id_moules
 104797858  251085.000  5187739.000  12.964            1       175
 104797542  251086.000  5187738.000  13.073            1       175
 104797543  251086.790  5187738.470  13.060            1       175
 104797544  251088.000  5187738.000  13.012            1       175
 104797859  251086.000  5187739.000  12.997            1       175
 104797860  251087.000  5187739.000  13.035            1       175
 104797861  251088.000  5187739.000  13.057            1       175
 104798175  251085.730  5187740.170  12.900            1       175
 104798176  251087.000  5187740.000  12.974            1       175
 104798489  251087.430  5187741.230  12.950            1       175
 104798490  251088.000  5187741.000  12.989            1       175
 104797230  251092.300  5187737.190  12.850            1       175
 104797545  251089.000  5187738.000  12.990            1       175
 104797546  251089.540  5187737.830  12.970            1       175
 104797547  251091.000  5187738.000  12.919            1       175
 104797548  251092.000  5187738.000  12.906            1       175
 104797862  251089.000  5187739.000  13.038            1       175
 104797863  251090.000  5187739.000  13.025            1       175
 104797864  251091.240  5187738.890  12.960            1       175
 104797865  251092.000  5187739.000  12.954            1       175
 104798177  251088.480  5187739.530  13.070            1       175
 104798178  251089.000  5187740.000  13.080            1       175
 104798179  251090.000  5187740.000  13.088            1       175
 104798491  251089.000  5187741.000  13.031            1       175
 104798492  251090.180  5187740.590  13.120            1       175
 104798180  251091.000  5187740.000  13.036            1       175
 104798181  251092.000  5187740.000  12.979            1       175
 104798493  251091.000  5187741.000  13.091            1       175
 104797549  251093.000  5187738.000  12.924            1       175
 104797866  251093.000  5187739.000  12.949            1       175
 104798182  251092.940  5187739.950  12.930            1       175
 111439587  252019.000  5189391.000   0.217            1       177
 111439588  252020.000  5189391.000   0.229            1       177
 111440608  252016.000  5189393.000   0.169            1       177
 111441119  252015.000  5189394.000   0.220            1       177
 111441120  252016.000  5189394.000   0.230            1       177
 111440097  252017.000  5189392.000   0.192            1       177
 111440098  252018.000  5189392.000   0.208            1       177
 111440609  252017.000  5189393.000   0.206            1       177
 111440610  252018.000  5189393.000   0.215            1       177
 111441121  252017.000  5189394.000   0.237            1       177
 111441122  252018.000  5189394.000   0.232            1       177
 111441631  252015.000  5189395.000   0.202            1       177
 111441632  252016.000  5189395.000   0.227            1       177
 111442143  252015.000  5189396.000   0.228            1       177
 111442144  252016.000  5189396.000   0.240            1       177
 111442655  252015.000  5189397.000   0.223            1       177
 111442656  252016.000  5189397.000   0.254            1       177
 111441633  252017.000  5189395.000   0.233            1       177
 111441634  252018.000  5189395.000   0.245            1       177
 111442145  252017.000  5189396.000   0.252            1       177
 111442146  252018.000  5189396.000   0.246            1       177
 111442657  252017.000  5189397.000   0.260            1       177
 111442658  252018.000  5189397.000   0.279            1       177
 111440099  252019.000  5189392.000   0.218            1       177
 111440100  252020.000  5189392.000   0.234            1       177
 111440101  252021.000  5189392.000   0.233            1       177
 111440611  252019.000  5189393.000   0.210            1       177
 111440612  252020.000  5189393.000   0.204            1       177
 111440613  252021.000  5189393.000   0.227            1       177
 111441123  252019.000  5189394.000   0.240            1       177
 111441124  252020.000  5189394.000   0.201            1       177
 111441125  252021.000  5189394.000   0.241            1       177
 111440102  252022.000  5189392.000   0.229            1       177
 111440614  252022.000  5189393.000   0.224            1       177
 111440615  252023.000  5189393.000   0.234            1       177
 111441126  252022.000  5189394.000   0.253            1       177
 111441127  252023.000  5189394.000   0.258            1       177
 111441635  252019.000  5189395.000   0.247            1       177
 111441636  252020.000  5189395.000   0.229            1       177
 111441637  252021.000  5189395.000   0.246            1       177
 111442147  252019.000  5189396.000   0.265            1       177
 111442148  252020.000  5189396.000   0.250            1       177
 111442149  252021.000  5189396.000   0.266            1       177
 111442659  252019.000  5189397.000   0.272            1       177
 111442660  252020.000  5189397.000   0.290            1       177
 111442661  252021.000  5189397.000   0.287            1       177
 111441638  252022.000  5189395.000   0.261            1       177
 111441639  252023.000  5189395.000   0.278            1       177
 111442150  252022.000  5189396.000   0.270            1       177
 111442151  252023.000  5189396.000   0.263            1       177
 111442662  252022.000  5189397.000   0.275            1       177
 111442663  252023.000  5189397.000   0.258            1       177
 111441128  252024.000  5189394.000   0.259            1       177
 111441640  252024.000  5189395.000   0.257            1       177
 111442152  252024.000  5189396.000   0.293            1       177
 111442664  252024.000  5189397.000   0.289            1       177
 111443167  252015.000  5189398.000   0.242            1       177
 111443168  252016.000  5189398.000   0.268            1       177
 111443680  252016.000  5189399.000   0.266            1       177
 111443169  252017.000  5189398.000   0.283            1       177
 111443170  252018.000  5189398.000   0.277            1       177
 111443681  252017.000  5189399.000   0.273            1       177
 111443682  252018.000  5189399.000   0.291            1       177
 111444193  252017.000  5189400.000   0.263            1       177
 111444194  252018.000  5189400.000   0.260            1       177
 111443171  252019.000  5189398.000   0.223            1       177
 111443172  252020.000  5189398.000   0.234            1       177
 111443173  252021.000  5189398.000   0.312            1       177
 111443683  252019.000  5189399.000   0.298            1       177
 111443684  252020.000  5189399.000   0.315            1       177
 111443685  252021.000  5189399.000   0.310            1       177
 111444195  252019.000  5189400.000   0.271            1       177
 111444196  252020.000  5189400.000   0.318            1       177
 111444197  252021.000  5189400.000   0.346            1       177
 111443174  252022.000  5189398.000   0.305            1       177
 111443175  252023.000  5189398.000   0.300            1       177
 111443686  252022.000  5189399.000   0.318            1       177
 111443687  252023.000  5189399.000   0.323            1       177
 111444198  252022.000  5189400.000   0.329            1       177
 157990756  281185.170  5197990.400  11.874            0       178
 157990446  281191.360  5197988.300  11.788            0       178
 157991217  281188.810  5197992.920  11.933            0       178
 157991512  281190.850  5197995.030  12.001            0       178
 219014034  282149.663  5210108.535   3.766            1       181
