Latitude;Longitude;Total;Classe;Date;source
41.99027778;-82.88333333;0;Inexistant;1905-04-08;DonnesOnQc2017
43.2125;-79.06666667;0;Inexistant;1905-03-20;DonnesOnQc2017
45.5667;-74.3833;1;Inexistant;1905-03-20;DonnesOnQc2017
46.8667;-71.15;1;Inexistant;1905-03-19;DonnesOnQc2017
43.2125;-79.06666667;0;Inexistant;1903-03-22;DonnesOnQc2017
46.838333;-71.192222;1;Inexistant;1905-03-04;DonnesOnQc2017
45.47;-75.599444;0;Inexistant;2416-08-30;DonnesOnQc2017
45.4686;-75.5769;10;Commun;1905-02-27;DonnesOnQc2017
46.795555;-71.218888;0;Inexistant;1905-02-05;DonnesOnQc2017
45.569444;-73.505555;0;Inexistant;1905-02-05;DonnesOnQc2017
43.07222222;-79.0625;0;Inexistant;1900-01-00;DonnesOnQc2017
45.85;-74.2333;1;Inexistant;1900-01-00;DonnesOnQc2017
45.4681;-75.6086;2;Inexistant;1900-01-00;DonnesOnQc2017
46.8167;-71.2333;9;Rare;1900-01-00;DonnesOnQc2017
45.4;-76.4333;1;Inexistant;1900-01-00;DonnesOnQc2017
45.5153;-76.1392;1;Inexistant;1962-09-01;Otawariverwathershed
45.9052;-76.9301;3;Inexistant;2007-09-01;Otawariverwathershed
45.742966;-76.609424;6;Rare;2018-06-20;Otawariverwathershed
45.741035;-76.61106;118;Commun;2018-06-20;Otawariverwathershed
45.90675;-76.934277;6;Rare;2002-08-01;Otawariverwathershed
45.5225;-76.1671;6;Rare;2005-10-01;Otawariverwathershed
45.5667;-74.3833;1;Inexistant;1905-03-20;Otawariverwathershed
45.4;-76.4333;1;Inexistant;1900-01-00;Otawariverwathershed
45.5167;-76.1667;1;Inexistant;1962-07-01;Otawariverwathershed
47.58939;-79.48486;1;Inexistant;2000-05-01;Otawariverwathershed
45.736528;-76.60354;37;Commun;2018-06-20;Otawariverwathershed
45.580555;-76.670833;2;Inexistant;2001-08-01;Otawariverwathershed
45.9052;-76.9301;2;Inexistant;2004-10-01;Otawariverwathershed
45.72806;-76.60453;1;Inexistant;2012-08-01;Otawariverwathershed
45.85;-74.2333;1;Inexistant;1900-01-00;Otawariverwathershed
45.899;-76.920388;2;Inexistant;2002-08-01;Otawariverwathershed
45.868686;-76.782601;2;Inexistant;2018-06-22;Otawariverwathershed
45.4681;-75.6086;2;Inexistant;1900-01-00;Otawariverwathershed
45.5227;-76.1671;5;Rare;2005-10-11;Otawariverwathershed
45.5225;-76.1671;5;Rare;2005-10-20;Otawariverwathershed
45.5185;-76.1667;3;Inexistant;2005-10-20;Otawariverwathershed
47.65235;-79.5967;1;Inexistant;2000-04-30;Otawariverwathershed
45.657222;-76.671944;1;Inexistant;2001-08-18;Otawariverwathershed
45.47;-75.599444;1;Inexistant;1887-09;Otawariverwathershed
45.905;-76.929444;25;Commun;2001-08-18;Otawariverwathershed
45.904166;-76.93;5;Rare;2001-08-18;Otawariverwathershed
45.5667;-74.3833;2;Inexistant;1933-09-01;Otawariverwathershed
45.4686;-75.5769;10;Commun;1885-01;Otawariverwathershed
45.732916;-76.603861;19;Commun;2002-08-21;Otawariverwathershed
47.60967;-79.53993;1;Inexistant;2000-04-29;Otawariverwathershed
45.85;-76.73;3;Inexistant;2001-08-18;Otawariverwathershed
45.9068;-76.9344;8;Rare;2004-10-04;Otawariverwathershed
45.879727;-73.153436;65;Commun;2018-07-15;hickorinutrichelieu
45.787297;-73.16501;1;Inexistant;2018-08-04;hickorinutrichelieu
45.691542;-73.191094;2;Inexistant;2018-08-11;hickorinutrichelieu
46.494327;-72.243913;7;Rare;2001-01-01;LakestrugeonRichelieu
46.741471;-71.294771;27;Commun;2001-01-01;LakestrugeonRichelieu
46.73927;-71.27312;3;Inexistant;2009-01-01;LakestrugeonRichelieu
46.73927;-71.27312;9;Rare;2010-01-01;LakestrugeonRichelieu
46.73927;-71.27312;1;Inexistant;2010-01-01;LakestrugeonRichelieu
46.678889;-71.808056;72;Commun;2011-01-01;LakestrugeonRichelieu
46.73927;-71.27312;8;Rare;2011-01-01;LakestrugeonRichelieu
46.73927;-71.27312;1;Inexistant;2011-01-01;LakestrugeonRichelieu
46.43312;-72.31781;0;Inexistant;2012-01-01;LakestrugeonRichelieu
46.390042;-72.442811;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.7401;-71.27348;40;Commun;2012-01-01;LakestrugeonRichelieu
46.73858;-71.2747;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.88393;-71.14274;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.84856;-71.1621;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.82455;-71.20467;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.88757;-71.14555;0;Inexistant;2014-01-01;LakestrugeonRichelieu
46.84939;-70.9794;0;Inexistant;2014-01-01;LakestrugeonRichelieu
46.87727;-71.14845;0;Inexistant;2014-01-01;LakestrugeonRichelieu
45.863056;-73.15;1;Inexistant;2009-06-16;LakestrugeonRichelieu
46.249444;-72.666111;1;Inexistant;1947-08-04;LakestrugeonRichelieu
46.417222;-72.305726;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.312778;-72.55;0;Inexistant;1985-07-25;LakestrugeonRichelieu
46.741471;-71.294771;27;Commun;1978-01-01;LakestrugeonRichelieu
46.485555;-72.245403;2;Inexistant;2001-01-01;LakestrugeonRichelieu
46.73927;-71.27312;2;Inexistant;2010-01-01;LakestrugeonRichelieu
46.73927;-71.27312;3;Inexistant;2010-01-01;LakestrugeonRichelieu
46.509995;-72.235701;5;Rare;2012-01-01;LakestrugeonRichelieu
46.64471;-71.66066;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.27708;-72.62141;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.82662964;-71.20430756;1;Inexistant;2013-01-01;LakestrugeonRichelieu
46.8851;-71.14344;10;Commun;2012-01-01;LakestrugeonRichelieu
46.84213;-71.19156;1;Inexistant;2014-01-01;LakestrugeonRichelieu
46.921111;-70.810278;0;Inexistant;1999-09-21;LakestrugeonRichelieu
45.863056;-73.15;1;Inexistant;2007-05-31;LakestrugeonRichelieu
45.863056;-73.15;1;Inexistant;2009-06-23;LakestrugeonRichelieu
46.88551;-71.14149;1;Inexistant;1991-01-01;LakestrugeonRichelieu
46.599167;-71.986111;4;Rare;1997-01-01;LakestrugeonRichelieu
47.03028;-70.7975;1;Inexistant;1999-01-01;LakestrugeonRichelieu
46.410239;-72.334867;1;Inexistant;2008-01-01;LakestrugeonRichelieu
46.432701;-72.300772;4;Rare;2008-01-01;LakestrugeonRichelieu
46.73927;-71.27312;4;Rare;2011-01-01;LakestrugeonRichelieu
46.88508;-71.14344;26;Commun;2012-01-01;LakestrugeonRichelieu
47.03826;-70.85442;0;Inexistant;2014-01-01;LakestrugeonRichelieu
46.88299;-71.14004;0;Inexistant;2014-01-01;LakestrugeonRichelieu
46.832054;-71.191797;0;Inexistant;2014-01-01;LakestrugeonRichelieu
46.73927;-71.27312;11;Commun;2009-01-01;LakestrugeonRichelieu
46.265833;-72.663889;0;Inexistant;1985-05-15;LakestrugeonRichelieu
46.265833;-72.663889;0;Inexistant;1985-05-28;LakestrugeonRichelieu
46.921111;-70.810278;0;Inexistant;1999-07-13;LakestrugeonRichelieu
45.863056;-73.15;1;Inexistant;2007-06-23;LakestrugeonRichelieu
46.415167;-72.371167;1;Inexistant;2008-09-23;LakestrugeonRichelieu
46.671667;-71.802778;1;Inexistant;1997-01-01;LakestrugeonRichelieu
46.94213333;-70.8581;3;Inexistant;2000-01-01;LakestrugeonRichelieu
46.496478;-72.248642;3;Inexistant;2008-01-01;LakestrugeonRichelieu
46.73927;-71.27312;8;Rare;2009-01-01;LakestrugeonRichelieu
46.73927;-71.27312;3;Inexistant;2009-01-01;LakestrugeonRichelieu
46.73927;-71.27312;6;Rare;2010-01-01;LakestrugeonRichelieu
